doc_id,topic,subtopic,question_variation,context,answer_hint
B426,tokenization,word_tokenization,What is word tokenization?,"Word tokenization splits text into words, often using whitespace and punctuation. It preserves more structure than character tokenization but can create very large vocabularies and unknown-word problems.","Word tokenization splits text into words, but it can lead to large vocabularies and unknown tokens."
B427,tokenization,subword_tokenization,What is subword tokenization?,"Subword tokenization is presented as a compromise between character and word tokenization. It keeps common words intact while splitting rare or complex words into smaller pieces, which improves coverage and efficiency.",Subword tokenization balances vocabulary size and coverage by keeping common words whole and splitting rare words into smaller units.
B428,wordpiece,definition,What is WordPiece?,WordPiece is one of the subword tokenization algorithms discussed in the book. It is used by BERT and DistilBERT tokenizers to split words into smaller learned units when needed.,WordPiece is a subword tokenization algorithm used by models like BERT and DistilBERT.
B429,tokenization,special_tokens,Why do tokenizers add special tokens like CLS and SEP?,The book shows that tokenizers may add special markers at the start and end of a sequence. These tokens help the model identify sequence boundaries and support downstream tasks such as classification.,Special tokens like CLS and SEP mark sequence boundaries and help models support downstream tasks.
B430,tokenization,attention_mask,What is an attention mask?,"When tokenized sequences are padded to equal length, padded positions should not influence predictions. The attention mask tells the model which positions are real tokens and which are just padding.",An attention mask tells the model which tokens are real input tokens and which positions are padding.
B431,feature_extraction,definition,What does it mean to use transformers as feature extractors?,"In the feature extraction approach, the pretrained transformer body is frozen and used to produce hidden-state representations. A separate classifier is then trained on those fixed features.",Using a transformer as a feature extractor means freezing the pretrained model and training a separate classifier on its hidden representations.
B432,fine_tuning,definition,What is fine-tuning a transformer?,Fine-tuning updates the parameters of the pretrained transformer together with a task-specific head on a downstream dataset. The book contrasts this with feature extraction and shows it usually performs better when resources allow.,Fine-tuning means training the pretrained transformer and its task-specific head end to end on a downstream task.
B433,distilbert,definition,What is DistilBERT?,The book uses DistilBERT for text classification because it is smaller and more efficient than BERT while retaining comparable performance. It is a distilled version of BERT designed for faster and lighter deployment.,"DistilBERT is a smaller, faster distilled version of BERT that retains much of BERT’s performance."
B434,classification,subtopic,What is a confusion matrix used for in classification?,The text classification chapter uses a confusion matrix to compare true labels and predicted labels. It helps identify which classes the model confuses with each other and where errors are concentrated.,A confusion matrix shows how predictions compare to true labels and helps analyze which classes are being confused.
B435,self_attention,definition,How does self-attention work at a high level?,Chapter 3 explains self-attention as updating each token representation by mixing information from all tokens in the same sequence. It computes attention weights and then forms contextualized representations as weighted combinations of values.,Self-attention computes context-aware token representations by weighting information from all tokens in the sequence.
B436,self_attention,scaled_dot_product,What is scaled dot-product attention?,"Scaled dot-product attention computes similarity between query and key vectors with a dot product, scales the scores, normalizes them with softmax, and uses the resulting weights to combine value vectors.","Scaled dot-product attention uses query-key dot products, softmax weights, and value vectors to build contextualized outputs."
B437,self_attention,query_key_value,"What are query, key, and value vectors in attention?","The book describes query, key, and value vectors as learned projections of token embeddings. Query-key similarity produces attention weights, and the values are then combined using those weights.","Query, key, and value vectors are learned projections used to compute attention weights and contextualized outputs."
B438,multi_head_attention,definition,What is multi-head attention?,Multi-head attention uses several attention heads in parallel so the model can capture different kinds of relationships at the same time. Their outputs are concatenated and projected back to the hidden dimension.,Multi-head attention runs several attention heads in parallel so the model can capture different relationships simultaneously.
B439,transformer_architecture,encoder_only_decoder_only_encoder_decoder,"What is the difference between encoder-only, decoder-only, and encoder-decoder transformers?","The book organizes transformers into three broad families. Encoder-only models are suited to understanding tasks, decoder-only models are suited to autoregressive generation, and encoder-decoder models are suited to sequence-to-sequence tasks like translation and summarization.","Encoder-only models focus on understanding, decoder-only models focus on generation, and encoder-decoder models map one sequence to another."
B440,positional_embeddings,definition,Why do transformers need positional embeddings?,"Because attention alone does not encode token order, positional information must be injected into the input representations. Positional embeddings help the model represent the sequential structure of text.",Transformers need positional embeddings so token order is represented alongside token content.
B441,transformer_challenges,limitations,What are some main challenges with transformers?,"The book highlights several practical limitations: multilingual coverage is uneven, labeled data can still be scarce, long documents are expensive for self-attention, model decisions can be opaque, and pretrained models can inherit bias from internet text.","Main transformer challenges include language coverage, data scarcity, long-document cost, opacity, and bias."
